Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:231, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8484a590, ext:1376643332, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-169'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:233, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84855558, ext:1376688256, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-170'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:234, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84857c68, ext:1376699297, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-171'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:235, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84859f90, ext:1376707543, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-172'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:236, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8485c2b8, ext:1376716360, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-173'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:237, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8485da28, ext:1376723649, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-174'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:238, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8485f580, ext:1376730167, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-175'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:239, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84862848, ext:1376742483, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-176'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:240, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84863fb8, ext:1376749046, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-177'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:241, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a848662e0, ext:1376757737, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-178'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:242, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84868220, ext:1376766093, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-179'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:245, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cb3410, ext:1381267785, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-180'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:246, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cbe3d8, ext:1381312640, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-181'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:247, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cc12b8, ext:1381324214, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-182'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:248, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cc2258, ext:1381328744, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-183'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:249, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cc31f8, ext:1381332704, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-184'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:250, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cc4d50, ext:1381339471, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-185'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:251, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cc60d8, ext:1381344978, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-186'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:252, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cc7460, ext:1381349214, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-187'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:253, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cc8bd0, ext:1381355379, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-188'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:259, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cc9b70, ext:1381359507, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-189'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:260, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84ccb2e0, ext:1381365631, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-190'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:261, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d1b420, ext:1381693875, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-191'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:262, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d1ead0, ext:1381707179, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-192'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:263, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d1fe58, ext:1381712585, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-193'
